ID1,Name1,Link 1,ID2,Name 2,Link 2,Checked,Duplicates
N_02173,Jinde Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_02173,N_05766,Yinghua Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_05766,TRUE,TRUE
N_02173,Jinde Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_02173,N_05781,Yixun Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_05781,TRUE,TRUE
N_02173,Jinde Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_02173,N_04869,Taoshu Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_04869,TRUE,TRUE
N_02192,Jiujiang Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_02192,N_03601,Peiying Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_03601,TRUE,FALSE
N_02192,Jiujiang Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_02192,N_03811,Qingxin Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_03811,TRUE,TRUE
N_02192,Jiujiang Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_02192,N_05781,Yixun Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_05781,TRUE,TRUE
N_03139,Meili Middle School,https://data.chcdatabase.com/search?nodeSelect=N_03139,N_05673,Yali Middle School,https://data.chcdatabase.com/search?nodeSelect=N_05673,TRUE,FALSE
N_03167,Ming Deh Girl's School,https://data.chcdatabase.com/search?nodeSelect=N_03167,N_03169,Ming Teh Girls' School,https://data.chcdatabase.com/search?nodeSelect=N_03169,TRUE,FALSE
N_03169,Ming Teh Girls' School,https://data.chcdatabase.com/search?nodeSelect=N_03169,N_05767,Yinghua Girls' School,https://data.chcdatabase.com/search?nodeSelect=N_05767,TRUE,FALSE
N_03172,Mingde Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_03172,N_03601,Peiying Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_03601,TRUE,FALSE
N_03172,Mingde Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_03172,N_03811,Qingxin Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_03811,TRUE,FALSE
N_03172,Mingde Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_03172,N_04267,Shude Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_04267,TRUE,FALSE
N_03172,Mingde Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_03172,N_05766,Yinghua Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_05766,TRUE,TRUE
N_03172,Mingde Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_03172,N_05781,Yixun Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_05781,TRUE,FALSE
N_03172,Mingde Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_03172,N_04869,Taoshu Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_04869,TRUE,FALSE
N_03592,Pei Hua Girls High School,https://data.chcdatabase.com/search?nodeSelect=N_03592,N_03601,Peiying Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_03601,TRUE,FALSE
N_03592,Pei Hua Girls High School,https://data.chcdatabase.com/search?nodeSelect=N_03592,N_05766,Yinghua Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_05766,TRUE,TRUE
N_03592,Pei Hua Girls High School,https://data.chcdatabase.com/search?nodeSelect=N_03592,N_05781,Yixun Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_05781,TRUE,FALSE
N_03601,Peiying Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_03601,N_03811,Qingxin Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_03811,TRUE,FALSE
N_03601,Peiying Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_03601,N_05781,Yixun Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_05781,TRUE,FALSE
N_02869,Li-Hsien Middle School,https://data.chcdatabase.com/search?nodeSelect=N_02869,N_03812,Qingxin Middle School,https://data.chcdatabase.com/search?nodeSelect=N_03812,TRUE,TRUE
N_03735,Ping-yang Boys' Day School,https://data.chcdatabase.com/search?nodeSelect=N_03735,N_03736,Ping-yang Girls' Day School,https://data.chcdatabase.com/search?nodeSelect=N_03736,TRUE,FALSE
N_03811,Qingxin Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_03811,N_05766,Yinghua Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_05766,TRUE,FALSE
N_03811,Qingxin Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_03811,N_05781,Yixun Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_05781,TRUE,FALSE
N_03812,Qingxin Middle School,https://data.chcdatabase.com/search?nodeSelect=N_03812,N_03819,Qiujing Middle School,https://data.chcdatabase.com/search?nodeSelect=N_03819,TRUE,FALSE
N_03932,Shanghai Chinese and Western Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_03932,N_03933,Shanghai Chinese and Western Girls' School,https://data.chcdatabase.com/search?nodeSelect=N_03933,TRUE,FALSE
N_05247,Tso-un Mixed Day School #1,https://data.chcdatabase.com/search?nodeSelect=N_05247,N_05248,Tso-un Mixed Day School #2,https://data.chcdatabase.com/search?nodeSelect=N_05248,TRUE,TRUE
N_05247,Tso-un Mixed Day School #1,https://data.chcdatabase.com/search?nodeSelect=N_05247,N_05249,Tso-un Mixed Day School #3,https://data.chcdatabase.com/search?nodeSelect=N_05249,TRUE,TRUE
N_05248,Tso-un Mixed Day School #2,https://data.chcdatabase.com/search?nodeSelect=N_05248,N_05249,Tso-un Mixed Day School #3,https://data.chcdatabase.com/search?nodeSelect=N_05249,TRUE,FALSE
N_04234,Shipuming Girls' School for the Blind,https://data.chcdatabase.com/search?nodeSelect=N_04234,N_05644,Xinguang Girls' School for the Blind,https://data.chcdatabase.com/search?nodeSelect=N_05644,TRUE,FALSE
N_04267,Shude Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_04267,N_05766,Yinghua Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_05766,TRUE,FALSE
N_04267,Shude Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_04267,N_05781,Yixun Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_05781,TRUE,FALSE
N_04267,Shude Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_04267,N_04869,Taoshu Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_04869,TRUE,TRUE
N_05766,Yinghua Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_05766,N_05767,Yinghua Girls' School,https://data.chcdatabase.com/search?nodeSelect=N_05767,TRUE,TRUE
N_05766,Yinghua Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_05766,N_05781,Yixun Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_05781,TRUE,TRUE
N_05766,Yinghua Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_05766,N_04869,Taoshu Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_04869,TRUE,TRUE
N_05781,Yixun Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_05781,N_04869,Taoshu Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_04869,TRUE,FALSE
N_04710,Tai-ku Schools #2,https://data.chcdatabase.com/search?nodeSelect=N_04710,N_04711,Tai-ku Schools #3,https://data.chcdatabase.com/search?nodeSelect=N_04711,TRUE,FALSE
N_04773,Tai-yuan-fu Boy's Day School #1,https://data.chcdatabase.com/search?nodeSelect=N_04773,N_04774,Tai-yuan-fu Boy's Day School #2,https://data.chcdatabase.com/search?nodeSelect=N_04774,TRUE,FALSE
