ID Replaced,ID Now
N_01061,N_01049
N_01063,N_01062
N_03172,N_01147
N_05781,N_01147
N_02192,N_01178
N_01147,N_01178
N_03601,N_01178
N_03811,N_01178
N_02004,N_01489
N_01489,N_01726
N_00487,N_00485
N_00488,N_00485
N_00489,N_00485
N_00485,N_00486
N_02006,N_00486
N_03812,N_00788
N_02173,N_01962
N_01178,N_01962
N_04869,N_01962
N_01962,N_01996
N_04267,N_01996
N_00486,N_02005
N_05766,N_01996
N_01996,N_03592
N_00788,N_02869
N_05248,N_05247
N_05249,N_05247
N_05767,N_03592
